m49,VariableGroup,Subgroup,Variable,Area,Year,Value,Unit,Symbol,IsAggregate
4,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Afghanistan,2020,30.613806827,%,I,false
4,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Afghanistan,2021,30.613806827,%,I,false
4,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Afghanistan,2022,30.613806827,%,I,false
8,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Albania,2020,1.804635762,%,E,false
8,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Albania,2021,1.867549669,%,E,false
8,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Albania,2022,1.870860927,%,E,false
12,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Algeria,2020,63.358189766,%,E,false
12,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Algeria,2021,61.129682009,%,E,false
12,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Algeria,2022,63.349618582,%,E,false
24,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Angola,2020,0.098854447,%,I,false
24,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Angola,2021,0.098854447,%,I,false
24,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Angola,2022,0.098854447,%,I,false
28,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Antigua and Barbuda,2020,3.461538461,%,I,false
28,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Antigua and Barbuda,2021,3.461538461,%,I,false
28,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Antigua and Barbuda,2022,3.461538461,%,I,false
32,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Argentina,2020,3.187482881,%,I,false
32,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Argentina,2021,3.187482881,%,I,false
32,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Argentina,2022,3.187482881,%,I,false
51,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Armenia,2020,25.614622216,%,E,false
51,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Armenia,2021,29.038486292,%,E,false
51,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Armenia,2022,30.634573304,%,E,false
36,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Australia,2020,1.711382114,%,E,false
36,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Australia,2021,2.203252033,%,E,false
36,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Australia,2022,2.274390244,%,E,false
